order,letter,letterKey,slug,associationWordHe,associationWordEn,chapter,location,targetSourcePath,targetRuntimePath,transitionFromPrevHe,sceneBriefHe,sceneBriefEn,dubiRole,cameraPlan,promptVersion
01,א,alef,alef,אריה,lion,A-gateway-meadow,שער השביל,"packages/web/assets-src/images/storybooks/letter-story-v2/scene-01-alef.jpg","/images/storybooks/letter-story-v2/scene-01-alef","פתיחת המסע בשער הזוהר.","דובי פוגש אריה ידידותי ליד שער שביל האותיות.","Dubi meets a friendly lion at the glowing letter-trail gate.",present,"medium-wide; lion focal midground; Dubi right foreground guiding leftward",v1
12,ל,lamed,lamed,לימון,lemon,C-village-weather,חורשת לימונים,"packages/web/assets-src/images/storybooks/letter-story-v2/scene-12-lamed.jpg","/images/storybooks/letter-story-v2/scene-12-lamed","חץ השלט מוביל לחורשה.","בחורשת לימונים ענף אחד עם לימון בולט מנחה את דובי קדימה.","In a lemon grove, one prominent lemon branch guides Dubi onward.",present,"medium-wide; lemon focal center-left; signpost receding background",v1
13,מ,mem,mem,מטרייה,umbrella,C-village-weather,שביל גשם קל,"packages/web/assets-src/images/storybooks/letter-story-v2/scene-13-mem.jpg","/images/storybooks/letter-story-v2/scene-13-mem","ארגז לימונים נשאר ליד תחילת השביל.","טפטוף עדין מתחיל, מטרייה נפתחת ודובי ממשיך רגוע בשביל.","A gentle drizzle begins, an umbrella opens, and Dubi calmly continues on the path.",present,"medium shot; umbrella focal center; light rain layers",v1
14,נ,nun,nun,נר,candle,D-twilight-valley,כניסה למערה,"packages/web/assets-src/images/storybooks/letter-story-v2/scene-14-nun.jpg","/images/storybooks/letter-story-v2/scene-14-nun","טיפות גשם נשארות בפתח המערה.","בתוך מערה רכה נר מאיר את הדרך ודובי מצביע על היציאה.","Inside a soft cave, a candle lights the way as Dubi points toward the exit.",present,"medium close-up; candle focal center; Dubi right silhouette",v1
15,ס,samekh,samekh,סוס,horse,D-twilight-valley,מסלול העמק,"packages/web/assets-src/images/storybooks/letter-story-v2/scene-15-samekh.jpg","/images/storybooks/letter-story-v2/scene-15-samekh","הנר תלוי כפנס קטן ליד המסלול.","מחוץ למערה מחכה סוס רגוע לצד השביל בעמק.","Outside the cave, a calm horse waits beside the valley path.",present,"medium-wide; horse focal center-left; lantern on saddle",v1
16,ע,ayin,ayin,ענן,cloud,D-twilight-valley,שדה פתוח,"packages/web/assets-src/images/storybooks/letter-story-v2/scene-16-ayin.jpg","/images/storybooks/letter-story-v2/scene-16-ayin","פנס האוכף ממשיך גם בשדה.","דובי והסוס מגיעים לשדה פתוח עם ענן אחד שמוביל את הכיוון.","Dubi and the horse reach an open field under one guiding cloud.",present,"wide shot; cloud focal upper-center; Dubi lower-right",v1
17,פ,pe,pe,פרח,flower,D-twilight-valley,שדה פרחים,"packages/web/assets-src/images/storybooks/letter-story-v2/scene-17-pe.jpg","/images/storybooks/letter-story-v2/scene-17-pe","צל הענן נופל על שדה הפרחים.","בשדה פרחים פורח פרח גדול אחד ודובי מסמן את התחנה הבאה.","In a flower field, one large flower blooms as Dubi marks the next stop.",present,"medium shot; flower focal center; cloud shadow across ground",v1
18,צ,tsadi,tsadi,צב,turtle,D-twilight-valley,שביל המרצפות,"packages/web/assets-src/images/storybooks/letter-story-v2/scene-18-tsadi.jpg","/images/storybooks/letter-story-v2/scene-18-tsadi","עלי כותרת מהפרח נשארים על המרצפות.","צב קטן נושא חתיכת מפה נוצצת ודובי הולך לידו.","A small turtle carries a glowing map tile while Dubi walks beside it.",present,"medium-wide; turtle focal lower-center; map tile sparkle",v1
19,ק,qof,qof,קוף,monkey,E-finale-route,גשר העצים,"packages/web/assets-src/images/storybooks/letter-story-v2/scene-19-qof.jpg","/images/storybooks/letter-story-v2/scene-19-qof","חתיכת המפה עוברת מיד הצב לקוף.","על גשר עצים קוף שובב מקבל את חתיכת המפה ומכוון הלאה.","On a tree bridge, a playful monkey receives the map tile and points onward.",present,"medium shot; monkey focal center-right; Dubi right foreground",v1
20,ר,resh,resh,רכבת,train,E-finale-route,גשר המסילה,"packages/web/assets-src/images/storybooks/letter-story-v2/scene-20-resh.jpg","/images/storybooks/letter-story-v2/scene-20-resh","הגשר משתנה מגשר עצים לגשר מסילה.","רכבת קטנה עוברת על הגשר ודובי צופה בתחנת הסיום שמתקרבת.","A small train crosses the bridge while Dubi sees the finish station ahead.",present,"wide shot; train focal center; bridge depth lines RTL",v1
21,ש,shin,shin,שמש,sun,E-finale-route,עמק האור,"packages/web/assets-src/images/storybooks/letter-story-v2/scene-21-shin.jpg","/images/storybooks/letter-story-v2/scene-21-shin","עשן הרכבת מסתלסל לכיוון קרני השמש.","הרכבת יוצאת לעמק מואר והשמש זורחת מעל שער החגיגה.","The train exits into a bright valley as the sun rises above the celebration arch.",present,"wide celebratory shot; sun focal upper-left; Dubi right",v1
22,ת,tav,tav,תפוח,apple,E-finale-route,שער הסיום,"packages/web/assets-src/images/storybooks/letter-story-v2/scene-22-tav.jpg","/images/storybooks/letter-story-v2/scene-22-tav","שער האור נפתח עם המפה השלמה.","בשער הסיום תפוח אדום ממתין כפרס ודובי חוגג את סוף המסע.","At the finish gate, a red apple reward awaits and Dubi celebrates the journey's end.",present,"medium-wide finale; apple focal center; completed map motif",v1
