scene,key,display_text,audio_path,audio_file_exists
"global","common.games.letterStorybook.feedback.encouragement.v3","נשימה עמוקה ומנסים שוב.","/audio/he/games/letter-storybook/feedback/encouragement/v3.mp3","yes"
"global","common.games.letterStorybook.feedback.success.v1","יופי! כל הכבוד!","/audio/he/games/letter-storybook/feedback/success/v1.mp3","yes"
"global","common.games.letterStorybook.feedback.success.v2","מעולה! הצלחתם!","/audio/he/games/letter-storybook/feedback/success/v2.mp3","yes"
"global","common.games.letterStorybook.feedback.success.v3","נהדר! ממשיכים יחד.","/audio/he/games/letter-storybook/feedback/success/v3.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.hint1","רמז ראשון: מקשיבים רק לצליל האחרון במילה.","/audio/he/games/letter-storybook/final-forms/hint1.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.hint2","רמז שני: מסתכלים רק על סוף המילה.","/audio/he/games/letter-storybook/final-forms/hint2.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.hint3","רמז שלישי: דובי מדגים ואז אתם מנסים.","/audio/he/games/letter-storybook/final-forms/hint3.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.intro","עכשיו גשר האותיות הסופיות.","/audio/he/games/letter-storybook/final-forms/intro.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.kafSofit.baseSymbol","כ","/audio/he/games/letter-storybook/final-forms/kaf-sofit/base-symbol.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.kafSofit.exampleWord","מלך","/audio/he/games/letter-storybook/final-forms/kaf-sofit/example-word.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.kafSofit.intro","זאת ך סופית. היא שייכת לאות כ.","/audio/he/games/letter-storybook/final-forms/kaf-sofit/intro.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.kafSofit.prompt","איזו אות מופיעה בסוף המילה מלך?","/audio/he/games/letter-storybook/final-forms/kaf-sofit/prompt.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.kafSofit.retry","ננסה שוב. מחפשים את האות בסוף מלך.","/audio/he/games/letter-storybook/final-forms/kaf-sofit/retry.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.kafSofit.success","יופי! מצאתם את ך סופית.","/audio/he/games/letter-storybook/final-forms/kaf-sofit/success.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.kafSofit.symbol","ך","/audio/he/games/letter-storybook/final-forms/kaf-sofit/symbol.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.memSofit.baseSymbol","מ","/audio/he/games/letter-storybook/final-forms/mem-sofit/base-symbol.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.memSofit.exampleWord","שלום","/audio/he/games/letter-storybook/final-forms/mem-sofit/example-word.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.memSofit.intro","זאת ם סופית. היא שייכת לאות מ.","/audio/he/games/letter-storybook/final-forms/mem-sofit/intro.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.memSofit.prompt","איזו אות מופיעה בסוף המילה שלום?","/audio/he/games/letter-storybook/final-forms/mem-sofit/prompt.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.memSofit.retry","ננסה שוב. מחפשים את האות בסוף שלום.","/audio/he/games/letter-storybook/final-forms/mem-sofit/retry.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.memSofit.success","מעולה! זיהיתם ם סופית.","/audio/he/games/letter-storybook/final-forms/mem-sofit/success.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.memSofit.symbol","ם","/audio/he/games/letter-storybook/final-forms/mem-sofit/symbol.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.nunSofit.baseSymbol","נ","/audio/he/games/letter-storybook/final-forms/nun-sofit/base-symbol.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.nunSofit.exampleWord","גן","/audio/he/games/letter-storybook/final-forms/nun-sofit/example-word.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.nunSofit.intro","זאת ן סופית. היא שייכת לאות נ.","/audio/he/games/letter-storybook/final-forms/nun-sofit/intro.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.nunSofit.prompt","איזו אות מופיעה בסוף המילה גן?","/audio/he/games/letter-storybook/final-forms/nun-sofit/prompt.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.nunSofit.retry","ננסה שוב. מחפשים את האות בסוף גן.","/audio/he/games/letter-storybook/final-forms/nun-sofit/retry.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.nunSofit.success","מצוין! זיהיתם ן סופית.","/audio/he/games/letter-storybook/final-forms/nun-sofit/success.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.nunSofit.symbol","ן","/audio/he/games/letter-storybook/final-forms/nun-sofit/symbol.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.peSofit.baseSymbol","פ","/audio/he/games/letter-storybook/final-forms/pe-sofit/base-symbol.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.peSofit.exampleWord","אף","/audio/he/games/letter-storybook/final-forms/pe-sofit/example-word.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.peSofit.intro","זאת ף סופית. היא שייכת לאות פ.","/audio/he/games/letter-storybook/final-forms/pe-sofit/intro.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.peSofit.prompt","איזו אות מופיעה בסוף המילה אף?","/audio/he/games/letter-storybook/final-forms/pe-sofit/prompt.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.peSofit.retry","ננסה שוב. מחפשים את האות בסוף אף.","/audio/he/games/letter-storybook/final-forms/pe-sofit/retry.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.peSofit.success","יופי! זיהיתם ף סופית.","/audio/he/games/letter-storybook/final-forms/pe-sofit/success.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.peSofit.symbol","ף","/audio/he/games/letter-storybook/final-forms/pe-sofit/symbol.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.retry","ננסה שוב יחד ונקשיב לסוף המילה.","/audio/he/games/letter-storybook/final-forms/retry.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.rule","אות סופית מופיעה רק בסוף מילה.","/audio/he/games/letter-storybook/final-forms/rule.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.sideBySidePrompt","נשווה בין האות הרגילה לאות הסופית.","/audio/he/games/letter-storybook/final-forms/side-by-side-prompt.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.success","כל הכבוד! זיהיתם אות סופית נכון.","/audio/he/games/letter-storybook/final-forms/success.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.transferPrompt","איזו אות סופית שומעים בסוף המילה?","/audio/he/games/letter-storybook/final-forms/transfer-prompt.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.tsadiSofit.baseSymbol","צ","/audio/he/games/letter-storybook/final-forms/tsadi-sofit/base-symbol.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.tsadiSofit.exampleWord","עץ","/audio/he/games/letter-storybook/final-forms/tsadi-sofit/example-word.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.tsadiSofit.intro","זאת ץ סופית. היא שייכת לאות צ.","/audio/he/games/letter-storybook/final-forms/tsadi-sofit/intro.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.tsadiSofit.prompt","איזו אות מופיעה בסוף המילה עץ?","/audio/he/games/letter-storybook/final-forms/tsadi-sofit/prompt.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.tsadiSofit.retry","ננסה שוב. מחפשים את האות בסוף עץ.","/audio/he/games/letter-storybook/final-forms/tsadi-sofit/retry.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.tsadiSofit.success","כל הכבוד! זיהיתם ץ סופית.","/audio/he/games/letter-storybook/final-forms/tsadi-sofit/success.mp3","yes"
"p27-final-forms","common.games.letterStorybook.finalForms.tsadiSofit.symbol","ץ","/audio/he/games/letter-storybook/final-forms/tsadi-sofit/symbol.mp3","yes"
"global","common.games.letterStorybook.guards.rapidTapPause","עוצרים לרגע קטן ואז ממשיכים לאט.","/audio/he/games/letter-storybook/guards/rapid-tap-pause.mp3","yes"
"global","common.games.letterStorybook.guards.rapidTapReset","נשמע שוב את ההוראה ונבחר בשקט.","/audio/he/games/letter-storybook/guards/rapid-tap-reset.mp3","yes"
"p01-mission","common.games.letterStorybook.instructions.checkpointReady","בעמודי בדיקה נקשיב ונבחר את האות הנכונה.","/audio/he/games/letter-storybook/instructions/checkpoint-ready.mp3","yes"
"p01-mission","common.games.letterStorybook.instructions.finalFormsBridge","בסוף נפגוש גם אותיות סופיות.","/audio/he/games/letter-storybook/instructions/final-forms-bridge.mp3","yes"
"p01-mission","common.games.letterStorybook.instructions.intro","דובי יוצא למסע בשביל האותיות.","/audio/he/games/letter-storybook/instructions/intro.mp3","yes"
"p01-mission","common.games.letterStorybook.instructions.listenAndTapLetter","הקשיבו ולחצו על האות הגדולה.","/audio/he/games/letter-storybook/instructions/listen-and-tap-letter.mp3","yes"
"p01-mission","common.games.letterStorybook.instructions.matchAssociation","התאימו את התמונה לאות הנכונה.","/audio/he/games/letter-storybook/instructions/match-association.mp3","yes"
"p01-mission","common.games.letterStorybook.instructions.mission","בכל עמוד נכיר אות אחת ומילת עוגן אחת.","/audio/he/games/letter-storybook/instructions/mission.mp3","yes"
"p01-mission","common.games.letterStorybook.instructions.tapHint","לחצו על רמז.","/audio/he/games/letter-storybook/instructions/tap-hint.mp3","yes"
"p01-mission","common.games.letterStorybook.instructions.tapNext","לחצו על הבא.","/audio/he/games/letter-storybook/instructions/tap-next.mp3","yes"
"p01-mission","common.games.letterStorybook.instructions.tapReplay","לחצו על השמעה חוזרת.","/audio/he/games/letter-storybook/instructions/tap-replay.mp3","yes"
"p01-mission","common.games.letterStorybook.instructions.tapRetry","לחצו על נסו שוב.","/audio/he/games/letter-storybook/instructions/tap-retry.mp3","yes"
"letter-alef","common.games.letterStorybook.letters.alef.hint1","רמז ראשון: שומעים אלף.","/audio/he/games/letter-storybook/letters/alef/hint1.mp3","yes"
"letter-alef","common.games.letterStorybook.letters.alef.hint2","רמז שני: מחפשים את א בתחילת אריה.","/audio/he/games/letter-storybook/letters/alef/hint2.mp3","yes"
"letter-alef","common.games.letterStorybook.letters.alef.hint3","רמז שלישי: דובי מצביע על א, ועכשיו אתם נוגעים.","/audio/he/games/letter-storybook/letters/alef/hint3.mp3","yes"
"letter-alef","common.games.letterStorybook.letters.alef.imageAlt","אריה ידידותי מנופף לדובי ליד שער השביל","/audio/he/games/letter-storybook/letters/alef/image-alt.mp3","yes"
"letter-alef","common.games.letterStorybook.letters.alef.intro","זאת האות א.","/audio/he/games/letter-storybook/letters/alef/intro.mp3","yes"
"letter-alef","common.games.letterStorybook.letters.alef.name","אלף","/audio/he/games/letter-storybook/letters/alef/name.mp3","yes"
"letter-alef","common.games.letterStorybook.letters.alef.prompt","איפה האות א? נוגעים בה יחד.","/audio/he/games/letter-storybook/letters/alef/prompt.mp3","yes"
"letter-alef","common.games.letterStorybook.letters.alef.retry","ננסה שוב יחד. מחפשים את האות א.","/audio/he/games/letter-storybook/letters/alef/retry.mp3","yes"
"letter-alef","common.games.letterStorybook.letters.alef.sound","אלף. האות א.","/audio/he/games/letter-storybook/letters/alef/sound.mp3","yes"
"letter-alef","common.games.letterStorybook.letters.alef.story","דובי פוגש את אריה בשביל האותיות.","/audio/he/games/letter-storybook/letters/alef/story.mp3","yes"
"letter-alef","common.games.letterStorybook.letters.alef.success","יופי! מצאנו את האות א.","/audio/he/games/letter-storybook/letters/alef/success.mp3","yes"
"letter-alef","common.games.letterStorybook.letters.alef.symbol","א","/audio/he/games/letter-storybook/letters/alef/symbol.mp3","yes"
"letter-alef","common.games.letterStorybook.letters.alef.word","אריה","/audio/he/games/letter-storybook/letters/alef/word.mp3","yes"
"letter-ayin","common.games.letterStorybook.letters.ayin.hint1","רמז ראשון: שומעים עין.","/audio/he/games/letter-storybook/letters/ayin/hint1.mp3","yes"
"letter-ayin","common.games.letterStorybook.letters.ayin.hint2","רמז שני: מחפשים את ע בתחילת ענן.","/audio/he/games/letter-storybook/letters/ayin/hint2.mp3","yes"
"letter-ayin","common.games.letterStorybook.letters.ayin.hint3","רמז שלישי: דובי מצביע על ע, ועכשיו אתם נוגעים.","/audio/he/games/letter-storybook/letters/ayin/hint3.mp3","yes"
"letter-ayin","common.games.letterStorybook.letters.ayin.imageAlt","ענן לבן מעל גבעה ירוקה","/audio/he/games/letter-storybook/letters/ayin/image-alt.mp3","yes"
"letter-ayin","common.games.letterStorybook.letters.ayin.intro","זאת האות ע.","/audio/he/games/letter-storybook/letters/ayin/intro.mp3","yes"
"letter-ayin","common.games.letterStorybook.letters.ayin.name","עין","/audio/he/games/letter-storybook/letters/ayin/name.mp3","yes"
"letter-ayin","common.games.letterStorybook.letters.ayin.prompt","איפה האות ע? נוגעים בה יחד.","/audio/he/games/letter-storybook/letters/ayin/prompt.mp3","yes"
"letter-ayin","common.games.letterStorybook.letters.ayin.retry","ננסה שוב יחד. מחפשים את האות ע.","/audio/he/games/letter-storybook/letters/ayin/retry.mp3","yes"
"letter-ayin","common.games.letterStorybook.letters.ayin.sound","עין. האות ע.","/audio/he/games/letter-storybook/letters/ayin/sound.mp3","yes"
"letter-ayin","common.games.letterStorybook.letters.ayin.story","דובי פוגש את ענן בשביל האותיות.","/audio/he/games/letter-storybook/letters/ayin/story.mp3","yes"
"letter-ayin","common.games.letterStorybook.letters.ayin.success","יופי! מצאנו את האות ע.","/audio/he/games/letter-storybook/letters/ayin/success.mp3","yes"
"letter-ayin","common.games.letterStorybook.letters.ayin.symbol","ע","/audio/he/games/letter-storybook/letters/ayin/symbol.mp3","yes"
"letter-ayin","common.games.letterStorybook.letters.ayin.word","ענן","/audio/he/games/letter-storybook/letters/ayin/word.mp3","yes"
"letter-bet","common.games.letterStorybook.letters.bet.hint1","רמז ראשון: שומעים בית.","/audio/he/games/letter-storybook/letters/bet/hint1.mp3","yes"
"letter-bet","common.games.letterStorybook.letters.bet.hint2","רמז שני: מחפשים את ב בתחילת בלון.","/audio/he/games/letter-storybook/letters/bet/hint2.mp3","yes"
"letter-bet","common.games.letterStorybook.letters.bet.hint3","רמז שלישי: דובי מצביע על ב, ועכשיו אתם נוגעים.","/audio/he/games/letter-storybook/letters/bet/hint3.mp3","yes"
"letter-bet","common.games.letterStorybook.letters.bet.imageAlt","בלון צבעוני מעל שביל האותיות","/audio/he/games/letter-storybook/letters/bet/image-alt.mp3","yes"
"letter-bet","common.games.letterStorybook.letters.bet.intro","זאת האות ב.","/audio/he/games/letter-storybook/letters/bet/intro.mp3","yes"
"letter-bet","common.games.letterStorybook.letters.bet.name","בית","/audio/he/games/letter-storybook/letters/bet/name.mp3","yes"
"letter-bet","common.games.letterStorybook.letters.bet.prompt","איפה האות ב? נוגעים בה יחד.","/audio/he/games/letter-storybook/letters/bet/prompt.mp3","yes"
"letter-bet","common.games.letterStorybook.letters.bet.retry","ננסה שוב יחד. מחפשים את האות ב.","/audio/he/games/letter-storybook/letters/bet/retry.mp3","yes"
"letter-bet","common.games.letterStorybook.letters.bet.sound","בית. האות ב.","/audio/he/games/letter-storybook/letters/bet/sound.mp3","yes"
"letter-bet","common.games.letterStorybook.letters.bet.story","דובי פוגש את בלון בשביל האותיות.","/audio/he/games/letter-storybook/letters/bet/story.mp3","yes"
"letter-bet","common.games.letterStorybook.letters.bet.success","יופי! מצאנו את האות ב.","/audio/he/games/letter-storybook/letters/bet/success.mp3","yes"
"letter-bet","common.games.letterStorybook.letters.bet.symbol","ב","/audio/he/games/letter-storybook/letters/bet/symbol.mp3","yes"
"letter-bet","common.games.letterStorybook.letters.bet.word","בלון","/audio/he/games/letter-storybook/letters/bet/word.mp3","yes"
"letter-dalet","common.games.letterStorybook.letters.dalet.hint1","רמז ראשון: שומעים דלת.","/audio/he/games/letter-storybook/letters/dalet/hint1.mp3","yes"
"letter-dalet","common.games.letterStorybook.letters.dalet.hint2","רמז שני: מחפשים את ד בתחילת דג.","/audio/he/games/letter-storybook/letters/dalet/hint2.mp3","yes"
"letter-dalet","common.games.letterStorybook.letters.dalet.hint3","רמז שלישי: דובי מצביע על ד, ועכשיו אתם נוגעים.","/audio/he/games/letter-storybook/letters/dalet/hint3.mp3","yes"
"letter-dalet","common.games.letterStorybook.letters.dalet.imageAlt","דג צבעוני קופץ בבריכה קטנה","/audio/he/games/letter-storybook/letters/dalet/image-alt.mp3","yes"
"letter-dalet","common.games.letterStorybook.letters.dalet.intro","זאת האות ד.","/audio/he/games/letter-storybook/letters/dalet/intro.mp3","yes"
"letter-dalet","common.games.letterStorybook.letters.dalet.name","דלת","/audio/he/games/letter-storybook/letters/dalet/name.mp3","yes"
"letter-dalet","common.games.letterStorybook.letters.dalet.prompt","איפה האות ד? נוגעים בה יחד.","/audio/he/games/letter-storybook/letters/dalet/prompt.mp3","yes"
"letter-dalet","common.games.letterStorybook.letters.dalet.retry","ננסה שוב יחד. מחפשים את האות ד.","/audio/he/games/letter-storybook/letters/dalet/retry.mp3","yes"
"letter-dalet","common.games.letterStorybook.letters.dalet.sound","דלת. האות ד.","/audio/he/games/letter-storybook/letters/dalet/sound.mp3","yes"
"letter-dalet","common.games.letterStorybook.letters.dalet.story","דובי פוגש את דג בשביל האותיות.","/audio/he/games/letter-storybook/letters/dalet/story.mp3","yes"
"letter-dalet","common.games.letterStorybook.letters.dalet.success","יופי! מצאנו את האות ד.","/audio/he/games/letter-storybook/letters/dalet/success.mp3","yes"
"letter-dalet","common.games.letterStorybook.letters.dalet.symbol","ד","/audio/he/games/letter-storybook/letters/dalet/symbol.mp3","yes"
"letter-dalet","common.games.letterStorybook.letters.dalet.word","דג","/audio/he/games/letter-storybook/letters/dalet/word.mp3","yes"
"letter-gimel","common.games.letterStorybook.letters.gimel.hint1","רמז ראשון: שומעים גימל.","/audio/he/games/letter-storybook/letters/gimel/hint1.mp3","yes"
"letter-gimel","common.games.letterStorybook.letters.gimel.hint2","רמז שני: מחפשים את ג בתחילת גזר.","/audio/he/games/letter-storybook/letters/gimel/hint2.mp3","yes"
"letter-gimel","common.games.letterStorybook.letters.gimel.hint3","רמז שלישי: דובי מצביע על ג, ועכשיו אתם נוגעים.","/audio/he/games/letter-storybook/letters/gimel/hint3.mp3","yes"
"letter-gimel","common.games.letterStorybook.letters.gimel.imageAlt","גזר גדול בגינת הירקות של דובי","/audio/he/games/letter-storybook/letters/gimel/image-alt.mp3","yes"
"letter-gimel","common.games.letterStorybook.letters.gimel.intro","זאת האות ג.","/audio/he/games/letter-storybook/letters/gimel/intro.mp3","yes"
"letter-gimel","common.games.letterStorybook.letters.gimel.name","גימל","/audio/he/games/letter-storybook/letters/gimel/name.mp3","yes"
"letter-gimel","common.games.letterStorybook.letters.gimel.prompt","איפה האות ג? נוגעים בה יחד.","/audio/he/games/letter-storybook/letters/gimel/prompt.mp3","yes"
"letter-gimel","common.games.letterStorybook.letters.gimel.retry","ננסה שוב יחד. מחפשים את האות ג.","/audio/he/games/letter-storybook/letters/gimel/retry.mp3","yes"
"letter-gimel","common.games.letterStorybook.letters.gimel.sound","גימל. האות ג.","/audio/he/games/letter-storybook/letters/gimel/sound.mp3","yes"
"letter-gimel","common.games.letterStorybook.letters.gimel.story","דובי פוגש את גזר בשביל האותיות.","/audio/he/games/letter-storybook/letters/gimel/story.mp3","yes"
"letter-gimel","common.games.letterStorybook.letters.gimel.success","יופי! מצאנו את האות ג.","/audio/he/games/letter-storybook/letters/gimel/success.mp3","yes"
"letter-gimel","common.games.letterStorybook.letters.gimel.symbol","ג","/audio/he/games/letter-storybook/letters/gimel/symbol.mp3","yes"
"letter-gimel","common.games.letterStorybook.letters.gimel.word","גזר","/audio/he/games/letter-storybook/letters/gimel/word.mp3","yes"
"letter-he","common.games.letterStorybook.letters.he.hint1","רמז ראשון: שומעים הא.","/audio/he/games/letter-storybook/letters/he/hint1.mp3","yes"
"letter-he","common.games.letterStorybook.letters.he.hint2","רמז שני: מחפשים את ה בתחילת הר.","/audio/he/games/letter-storybook/letters/he/hint2.mp3","yes"
"letter-he","common.games.letterStorybook.letters.he.hint3","רמז שלישי: דובי מצביע על ה, ועכשיו אתם נוגעים.","/audio/he/games/letter-storybook/letters/he/hint3.mp3","yes"
"letter-he","common.games.letterStorybook.letters.he.imageAlt","הר עגול עם שביל הליכה ברור","/audio/he/games/letter-storybook/letters/he/image-alt.mp3","yes"
